# t/s   p/mbar
  0     5.02e-3
  5     4.93e-4
 10     1.39e-4
 15     6.01e-5
 20     3.65e-5
 25     3.04e-5
 30     2.75e-5
 35     2.56e-5
 40     2.44e-5
 45     2.34e-5
 50     2.26e-5
 55     2.19e-5
 60     2.13e-5
 65     2.08e-5
 70     2.04e-5
 75     1.99e-5
 80     1.96e-5
 85     1.92e-5
 90     1.90e-5
 95     1.87e-5
100     1.85e-5
105     1.82e-5
110     1.80e-5
115     1.78e-5
120     1.76e-5
