# t/s   p/mbar
  0     6.00e-5
  5     9.93e-5
 10     1.22e-4
 15     1.50e-4
 20     1.79e-4
 25     2.06e-4
 30     2.33e-5
 35     2.59e-4
 40     2.84e-4
 45     3.11e-4
 50     3.36e-4
 55     3.64e-4
 60     3.92e-4
 65     4.15e-4
 70     4.42e-4
 75     4.69e-4
 80     4.95e-4
 85     5.20e-4
 90     5.47e-4
 95     5.73e-4
100     5.99e-4
105     6.23e-4
110     6.50e-4
115     6.76e-4
120     7.17e-4
