# t/s   p/mbar
0 	    0.50e-4
5 	    1.57e-4
10 	    2.28e-4
15 	    2.94e-4
20 	    3.69e-4
25 	    4.57e-4
30 	    5.63e-4
35 	    6.92e-4
40 	    8.26e-4
45 	    9.74e-4
50 	    11.2e-4
55 	    12.7e-4
60 	    14.3e-4
70 	    18.2e-4
80 	    21.9e-4
90 	    26.8e-4
100 	31.0e-4
110     35.7e-4
120     40.2e-4
