# phi/° I/mW
0	0.02
10	0.22
20	0.61
30	1.20
40	1.91
50	2.55
60	3.14
70	3.61
80	3.92
90	4.05
100	3.86
110	3.39
120	2.82
130	2.06
140	1.39
150	0.82
160	0.34
170	0.06
180	0.02
190	0.24
200	0.63
210	1.23
220	1.94
230	2.58
240	3.13
250	3.65
260	4.10
270	4.10
280	3.70
290	3.35
300	2.72
310	2.06
320	1.43
330	0.77
340	0.34
350	0.05
