# lambda/µm Winkel 1/Winkel+Winkelminuten    Winkel 2/Winkel+Winkelminuten
1,06    41   8  60   30
1,29    57   0  41   10
1,45    45  10  58    5
1,72    43  30  52   40
1,96    40   0  46   36
2,156   45  35  40   30
2,34    28  47  33   15
2,51    24  23  28    0
2,65    32  54  37   34
